nameuser,ratinguser,dateuser,textreviewuser,propertyinfo,propertytype
Dimas D. A.,6.6,01-Nov-21,"Upgrading my room from ' simple room ' to ' good room ' but seriously, they have to improve (or repair) their room (a big improvement I think) since the condition of the room especially the ceiling is really bad. In terms of cleanliness, I think the bedcover and the couch also need to be repaired given the condition of such are very dull and there are stains everywhere. In this pandemic circumstances, it is very unfortunate for guests to experience something like this. Apart from the above, the staff is very helpful and hospitable. This hotel also serves a nice breakfast.",Namin Dago Hotel,HOTELS
Sylvia D. A.,5.4,24-Oct-21,"Honestly photos can be so deceiving. I didn't think the hotel is worth the star rating and money paid given the condition of my room. I'm just speechless. Didn't ask for room change since I arrived very late about 10-11 pm after driving from Sby. Already waited outside to sterilize my room with my UV lamp and came inside the room to finally notice how dirty it was. Too exhausted to wait for another room change. Staff mentioned maintenance is done every month but the clogged drain in the shower, broken lights (kept flashing during the night) and everything else just couldn't lie.",Namin Dago Hotel,HOTELS
Jennifer A.,6.2,12-Oct-21,"I like the place actually. But to be honest I was surprised that AC was not provided and the lady who welcomed us did not really answer my general questions. I was glad they provide beds for our driver. But the room was unique, the paddy field view was beautiful, and there are so many spots to just sit and relax. The weather was a bit hot during the day and started to cool off in the evening.",Namin Dago Hotel,HOTELS
Hera R.,8.8,15-Jun-21,,Namin Dago Hotel,HOTELS
Farah R. R.,6.4,11-Jun-21,"The odor was not good more like an old room, there were also some stains on the couch but fortunately, the linen was quite clean. In addition, the bathroom did not seem to be regularly cleaned as there were some yellowish spot on the wall near the shower",Namin Dago Hotel,HOTELS
Yessica,9.7,26-Mar-22,"I really enjoyed stay here for a night, the breakfast is the best! Has many variations food menu, the room comfy and AC cold also I got my room view facing to the mountain, it was cool! I'll come back again soon! Hehehe thank you Aryaduta Bdg!",Aryaduta Bandung,HOTELS
Rita E.,9.7,26-Mar-22,,Aryaduta Bandung,HOTELS
Taufik,9.7,22-Mar-22,"Love this hotel, I had pleasant experience, comfortable and clean",Aryaduta Bandung,HOTELS
Pamela,9.7,20-Mar-22,"Room is comfy and clean, the service are great. Does not feel like old place since the room ambiance are timeless and classic and cleaned properly. View from the room also nice.",Aryaduta Bandung,HOTELS
Habib M.,6.2,20-Mar-22,The bathroom always left a puddle of water due to sloping floor.,Aryaduta Bandung,HOTELS
Nining C.,6.9,09-Mar-22,,Aryaduta Bandung,HOTELS
Ade h.,8.8,09-Mar-22,,Aryaduta Bandung,HOTELS
Nugraheni I.,7.2,06-Mar-22,Not convenient parkir spot for hotel guess.,Aryaduta Bandung,HOTELS
Cania C. I.,9.7,03-Mar-22,"This is a hotel with the best design I've ever seen. Great combination of functionality and aesthetics. I appreciate how optimally they've allocated the space available in the hotel into different rooms/functions. It's brilliantly proportional; Not too much, not too little, just exactly the right proportion of everything. Amazing food, amazing view, and since it's in Bandung, amazing weather, too. Will definitely come back here sometime soon.",Aryaduta Bandung,HOTELS
Melia,6.6,02-Mar-22,"The check-in process was horrible. It should be at 2pm but we entered the room at 4:30 pm because the room was not ready. The queue was very long also, they made us enjoy coffee break to wait but there were too many people. Not to mention the wet floor in the bathroom in my room. This was the first time I experienced such bad check in time. Too bad, the facilities were good tho.",Aryaduta Bandung,HOTELS
Wiki W.,9.7,07-Mar-22,"A very nice and clean hotel with excellent services, the food was also very good. The location is also perfect for my family.",Saninten Inn,HOTELS
Pita M.,10,01-Feb-22,"Very satisfied staying at this place. The staff was very helpful, the breakfast was delicious, the location quite strategic. 3 star guest house but worth of 4 star hotel. Looking forward to stay at this place again.",Saninten Inn,HOTELS
Fandy A.,9.7,19-Dec-21,"This hotel is awesome, they provide delicious breakfast. The only thing I disliked is the wifi, extremely poor connection.",Saninten Inn,HOTELS
Hersinta,9.7,09-Dec-21,"Love the cozy and homey vibes of this inn. The place is very clean, and interior is lovely; It gives you that home feeling with simple design. They have books on the shelves in public area, and the location is in the corner of a small street so It is nice and quiet. You only have to walk through a couple of small streets to reach the main road which is at the heart of Bandung. Very recommended.",Saninten Inn,HOTELS
Rr Dela,10,26-Nov-21,"I really love this Inn, for sure! So comfy, clean, homey, minimalist, aesthetic, and helpful staff. Good and strategic location. They have simple food menu for breakfast and room service but taste good. Definitely will come back for my next holiday. Thank you:).",Saninten Inn,HOTELS
Yohanes P. B.,9.7,24-Oct-21,"Clean, nice decoration, great breakfast, friendly staffs! Well done.",Saninten Inn,HOTELS
Yola K.,9.7,14-Oct-21,"We were traveling for business meeting, so instead of meeting outside the hotel, we decided to have it at Saninten Inn. They have cozy open air lounge, very delicious food, and best coffee according to us and our business partner. The room was comfy and super clean, staff are helpful and the owners are amazing, they made coffee for us! Thank you and keep up the good work Saninten Inn. Definitely we will stay here again.",Saninten Inn,HOTELS
Bima M. P.,9.7,13-Jun-21,Really recommended. The room was really comfortable.,Saninten Inn,HOTELS
Maria D. I. S.,9.4,03-May-21,Great location and design. Super clean,Saninten Inn,HOTELS
mamik,8.5,11-Apr-21,homey.. clean.. quiet atmosphere...not too hectic...preferred to choose while stay in bandung,Saninten Inn,HOTELS
Tutik S.,9.7,09-Mar-22,"Clean bedroom & bathroom, has water heater, so kind reseptionist, antique vibe, comfortable.",Rumah Tamu Muararajeun,GUEST HOUSES
Adhitya P.,10,21-Dec-21,"strategic location, great service, & feels like home. Gonna stay here again, soon. bravo__",Rumah Tamu Muararajeun,GUEST HOUSES
Nadhila S.,10,13-Apr-21,"Spacious, comfy and super clean!",Rumah Tamu Muararajeun,GUEST HOUSES
Luqman A. L.,9.7,08-Mar-22,"The location is quiet, strategic, and clean. The waiter was very friendly. The inn is also clean, homey, the facilities are complete, and comfortable. Suitable for a vacation with family or a place to rest after a meeting in Bandung.",Rumah Tamu Muararajeun,GUEST HOUSES
Kartina N. P.,8.5,20-Feb-22,"The first time I stayed here, I was hesitant at first because there were no reviews yet, even though this is a good position in the middle of being delicious everywhere, and it turns out that it's really nice to stay here, hot water is smooth, getting a room is a bit cramped, it's difficult to pray because the bed is king, comfortable sleep, the receptionist is friendly. Anyway, if you go to Bandung, stay here again.",Rumah Tamu Muararajeun,GUEST HOUSES
Moch Y. A.,8.5,06-Feb-22,Very comfortable. That represents my experience here.,Rumah Tamu Muararajeun,GUEST HOUSES
Agus a.,9.7,28-Jan-22,"Alhamdulillah, it's very satisfying to stay here.",Rumah Tamu Muararajeun,GUEST HOUSES
Fariz A.,9.7,23-Jan-22,Clean and comfortable feels like home. The staff is very friendly. The facilities are also okay.,Rumah Tamu Muararajeun,GUEST HOUSES
Musalisatul I.,9.7,17-Nov-21,The rooms are clean and the service is friendly.,Rumah Tamu Muararajeun,GUEST HOUSES
Moch Y. A.,9.7,02-Nov-21,Nice really clean. The guard is very friendly. Wifi to the room.,Rumah Tamu Muararajeun,GUEST HOUSES
Khalifah A.,8.8,12-Mar-22,"Good place, but got no phone signal and the wifi sucks. I even had difficulty posting this review.",Sapadia Guest House Bandung,GUEST HOUSES
Sabrina A.,5.8,27-Dec-21,So so dirty! All staffs not wearing mask!,Sapadia Guest House Bandung,GUEST HOUSES
Tuti P.,9.7,20-Dec-21,"Strategic location, nice service, clean, worth it! Its written room only, but we got mineral waters hehehe. Thankyou~ it wuold be better if theres warm water~.",Sapadia Guest House Bandung,GUEST HOUSES
Abdu F. A.,9.4,08-Nov-21,,Sapadia Guest House Bandung,GUEST HOUSES
Otrizal H. D.,5.1,14-Dec-20,"Air conditioner is not working, ripped towel, and the colour is gray instead of white (the bed cover too!!) the toilet (flush) water look like full of mud. very bad in the morning really bad because the neighbor and clerk really noisy having conversation!!",Sapadia Guest House Bandung,GUEST HOUSES
Mauritius T. P.,9.1,20-Aug-19,"clean room, nice front desk team. good for backpackers.",Sapadia Guest House Bandung,GUEST HOUSES
Tri D. M.,6.3,12-Mar-19,"The toilet not tidy, clean and smelly. And the room so much ant. But so far so good",Sapadia Guest House Bandung,GUEST HOUSES
Resti W.,9.7,08-Jan-19,,Sapadia Guest House Bandung,GUEST HOUSES
Muhammad S. A.,5.2,03-Jan-19,"Never stay here again. Stayed for 4 nights, first night went smooth and was a nice experience although it's not very clean, the rest quickly becoming nightmare full of regrets. Suddenly there's we heard buzzing sound that coming from unknown source, it was so noisy and make it very uncomfortable to stay. Told the staff three times but no action was done, not even a good hopeful answer was given.",Sapadia Guest House Bandung,GUEST HOUSES
Guest-qjm4vk,8.7,01-Jan-19,The location is good. Hotel didn't provide towel. Tidiness was poor. Receptionist was very helpful.,Sapadia Guest House Bandung,GUEST HOUSES
Suci A.,8.8,07-Feb-22,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Ayu A.,8.4,06-Feb-22,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Wila R.,8.5,16-Jan-22,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Mohammad R.,9.7,14-Jan-22,"Great experience staying with kids, the pool is exceptional.",Oasis Siliwangi Hotel & Waterpark,HOTELS
Anang G.,8.5,15-Dec-21,"Very clean and coomfy hotel, great view swimming pool at night.",Oasis Siliwangi Hotel & Waterpark,HOTELS
Hani S.,8.5,07-Oct-21,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Rianti A.,9.7,27-Sep-21,Have a good experience stay here. Staffs are kind and helpful.,Oasis Siliwangi Hotel & Waterpark,HOTELS
Sanny O.,8.5,13-Jun-21,,Oasis Siliwangi Hotel & Waterpark,HOTELS
amat w.,9.7,22-May-21,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Arti k.,9.7,16-May-21,,Oasis Siliwangi Hotel & Waterpark,HOTELS
Ratna S.,9.7,27-Mar-22,,THE 1O1 Bandung Dago,HOTELS
Muhamad A.,8.5,12-Feb-22,,THE 1O1 Bandung Dago,HOTELS
Ronella M. A.,9.4,08-Feb-22,"Best Location, clean and good mantain. Comfortable room and nice staff.",THE 1O1 Bandung Dago,HOTELS
Indri M.,8.5,02-Feb-22,"Good Hotel, Good Staff, Clean, comfortable ﾉ __ love.",THE 1O1 Bandung Dago,HOTELS
Dinniar F.,8.5,01-Feb-22,"Nice room, great services. So far was good.",THE 1O1 Bandung Dago,HOTELS
Rian A.,9.7,30-Jan-22,,THE 1O1 Bandung Dago,HOTELS
Christalya O. G.,8.5,26-Jan-22,"I had a good pleasant stay here, it 's very cozy place. Recommend for the next stay here.",THE 1O1 Bandung Dago,HOTELS
danissa p. p.,8.8,25-Jan-22,"The service was satisfying. The staff was helpful and nice. The breakfast was OK too. Overall, we had pleasant stay.",THE 1O1 Bandung Dago,HOTELS
rpsaif,6,18-Jan-22,"We stay for 1 night. Check in process was poor. We've waited at least 1 hour before enter the room. Parking lot was too small, Lighting in our room was not comfortable at all. Every light was connected in master switch, we couldn't one by one to on or off each light.",THE 1O1 Bandung Dago,HOTELS
Veny L.,9.4,11-Jan-22,"Definitely would stay here again. Lovely design, cosy. Unfortunately due to the Covid-19 protocol, entrance is through basement, but good to know they take safe protocols. Very good location to walk from to nice cafes, and shops. Love the hotel design and service is really good-asked the restaurant to borrow some plates and bowls and they happily lent us. We stayed two nights and definitely a wonderful stay.",THE 1O1 Bandung Dago,HOTELS
Muhammad I. N.,9.7,07-Feb-22,,Sawunggaling Hotel,GUEST HOUSES
Nada A.,9.1,19-Nov-21,Location is strategic. Clean and comfy room! Also friendly and helpful staff! Thank you.,Sawunggaling Hotel,GUEST HOUSES
ade,8.5,30-Jul-21,Good service.,Sawunggaling Hotel,GUEST HOUSES
Unggul J. W.,9.1,16-Nov-20,"The hotel is near to famous Dago (about 5mins walking) but located in very calm area. Itﾕs easy to be reached by many kinds of transportations (taxi, angkot, online vehicles). The design brings back to the Dutch architecture era (but some of equipments in the room little bit rusty). There is also a coffee shop which serves amazing coffees with affordable price.",Sawunggaling Hotel,GUEST HOUSES
Aris S.,8.5,30-Nov-19,Itﾕs good & nice hotel with affordable price,Sawunggaling Hotel,GUEST HOUSES
S Eka N.,6,23-Aug-19,,Sawunggaling Hotel,GUEST HOUSES
Guest-fdqb72,8.8,09-Aug-19,"Kind staff, good food, room is ok.",Sawunggaling Hotel,GUEST HOUSES
Reny T. K.,6.7,01-Aug-19,"The room is comfortable but the soaps and shampoo were not refilled. The towels looked dirty. Had to ask for extra toilet paper. The breakfast was cold, juice dispenser was not working, no one was around to ask for assistance in the cafe. Housekeeping staff were friendly and prompt when asked.",Sawunggaling Hotel,GUEST HOUSES
Guest-igj22g,8.5,28-Jul-19,,Sawunggaling Hotel,GUEST HOUSES
suryo c.,9.7,30-Apr-19,Nice trip nice hotel. We are nice pleasure to stay here.,Sawunggaling Hotel,GUEST HOUSES
yani t. a.,9.4,20-Feb-22,"This is above an average for budget hotel. What I love is they have a good air circulation (balcony door can be opened to get some fresh air). Though the furniture may be some old and stain with smoke burn but overall room was clean. Compared to budget hotel with same price, this hotel is excellent. Wifi works well, naerby to city centre and only few steps to get a good coffee. Minus = I don't see amenities like electrical teapot with coffee and tea in my room.",Tibera Taman Cibeunying,HOTELS
Agung R. S.,9.1,24-Dec-21,This Hotel has potential. Need to maintain room detailing and facility. You can spot a little frog near the fish pool. I am okay with that :). Just FYI for those who scare of frogs.,Tibera Taman Cibeunying,HOTELS
Januarius,9.1,13-Dec-21,"Cozy but old furniture, need a little renovation.",Tibera Taman Cibeunying,HOTELS
Fadhlya C. K.,5.8,29-Nov-21,"The lobby and parking spot smell bad (I guess there was a pile of trash). The bathroom is dirty, I didn't mind if it's old but there were stains everywhere. And the shower was kind of broken.",Tibera Taman Cibeunying,HOTELS
Tifany C. P.,9.4,23-May-21,Good service!!! Love the interior and exterior as well____,Tibera Taman Cibeunying,HOTELS
Putri A. Y.,9.7,06-Apr-21,,Tibera Taman Cibeunying,HOTELS
Andita T. A.,9.4,02-Mar-21,"Everything was smooth, room clean and wifi works well. However, AC in our room was noisy and it's really annoy us",Tibera Taman Cibeunying,HOTELS
Rissa R.,8.5,08-Feb-21,,Tibera Taman Cibeunying,HOTELS
Rissa R.,8.5,08-Jan-21,,Tibera Taman Cibeunying,HOTELS
Galih Y.,8.5,29-Nov-20,,Tibera Taman Cibeunying,HOTELS
Reinaldo N. S.,10,08-Jan-20,,Hotel Corsica,GUEST HOUSES
Dera F. R.,9.7,22-Dec-19,Had the most pleasant stay here. Corsica is kinda like my second bedroom. Lol,Hotel Corsica,GUEST HOUSES
Imelda A. K.,8.5,21-Dec-19,clean and comfy if you don't mind with the noise.,Hotel Corsica,GUEST HOUSES
Yozua M.,8.8,13-Nov-19,"Nice room, good location, recommend for business trip.",Hotel Corsica,GUEST HOUSES
Dera F. R.,9.7,30-Sep-19,my favorite hotel ever. always enjoy being there.,Hotel Corsica,GUEST HOUSES
Alabanyo B.,9.1,11-Aug-19,Nice bedroom and good facilities. Good place for low budget. I only spend less than IDR 300.000 per night for standard room. I got free breakfast and WIFI.,Hotel Corsica,GUEST HOUSES
FX Sukoto,9.4,09-Aug-19,,Hotel Corsica,GUEST HOUSES
Uli,8.4,21-Jul-19,"Fine place to stay short. Breakfast ok, room ok.",Hotel Corsica,GUEST HOUSES
Shaskia,8.4,05-Jul-19,"It was great, the price is okay compared with that we get. The room has refrigerator and water heater, the shower works well. Ac also great but the remote doesn't work well because the battery is low. Also the room is not really clean, having a bit dusty feeling and if you pay attention to some floor in corner of the room under curtain it's a bit unclean. Also witnessing some worker smoked while cleaning other room when we checked out.",Hotel Corsica,GUEST HOUSES
Dera F. R.,9.7,03-Jun-19,"When I visited Bandung, I always stay here. The service is good, the staffs are nice and kind, the food is delicious too. No doubt.",Hotel Corsica,GUEST HOUSES
Mohammad S.,8.5,16-Dec-21,"Just a typical place to stay, choose the room wisely. If you want a better room, then choose room on 3rd floor __.",Ariandri Residence Hotel Cilaki,HOTELS
Julius K.,6,20-Nov-21,"All the rooms are smoking room. I was really disappointed, because before purchasing this hotel, it stated that there was some non smoking room. When I entered the room, not only very strong smoking smell, but also the bed was so dirty and the toilet also was so dirty. I have not stayed at very bad hotel like this before. So, I did not stay, and I directly checked out, so I lost some money purchasing this one night stay but I was fine. I will never get back to this hotel. So bad service and facility.",Ariandri Residence Hotel Cilaki,HOTELS
Monica W.,8.4,19-Nov-21,"Photos that I've uploaded is the things you will have for Junior Suite room and here are some comments of it: 1. You will get 2 pillows, 2 medium towels and shower kit. Sorry for saying this, but the pillow case are smelly. 2. Excellent WiFi connection. 3. There is a spoon and plate inside the cabinet. 4. The room is dusty, specially under the bed, under the table, under sofabed. 5. Hot & Cold water. 6. The bathroom is moldy and there is some hair fall in the drain hole (looks like the old one which is not cleaned) 7. Friendly front table person. 8. I came for check in is right after the rain and there is puddle on the swing that placed in front of the unit I've booked. That's all, thank you.",Ariandri Residence Hotel Cilaki,HOTELS
Sarah,8.4,26-Sep-21,,Ariandri Residence Hotel Cilaki,HOTELS
Vinia K. K.,6.3,09-Jan-21,There is no hot water in shower. Linen and towel was dirty. Some of equipment (hanger) are broken,Ariandri Residence Hotel Cilaki,HOTELS
Nugie N. A.,8.5,24-Oct-20,"Nice stay, but in my room, the key hole is kind of rusty and its hard to pull off the key.",Ariandri Residence Hotel Cilaki,HOTELS
Hanna F.,9.7,23-Mar-20,"affordable, clean and comfy. it's not my 1st time staying in this hotel but I keep coming back because it's so homey. thank you Ariandri.",Ariandri Residence Hotel Cilaki,HOTELS
Mellisa S.,6,25-Feb-20,smaller than expected and smells..but for the budget hotels still okeu,Ariandri Residence Hotel Cilaki,HOTELS
Nelvia N.,6,31-Jan-20,everything was okay but cleanness of the room and toilet they didn't do it properly we stay there 3 day,Ariandri Residence Hotel Cilaki,HOTELS
Andhika W.,8.5,22-Jan-20,Gerat price and great room. Great location as well,Ariandri Residence Hotel Cilaki,HOTELS
Ridwan S. M.,9.3,29-Nov-21,Good place. Good room. Good vibe.,Urban Merdeka Hotel By UHM,HOTELS
Eshe,5.6,22-Nov-21,"The staff were friendly and helpful, room was clean & comfy. But unfortunately by night it would be so noisy & super loud because at the 1st floor there ' s some cafe open till midnight. The cafe ' s customer talking & screaming loud until 3AM (I'm at 3rd floor anyway and still can hear everything). I don't know why during ppkm the cafe is still open till 3AM. This hotel also nearby main road, so it would be so stressfull if you choose this hotel for staycation or relaxing. And finally you can sleep by 4AM in the morning. Enjoy! Would definitely not going back to this hotel.",Urban Merdeka Hotel By UHM,HOTELS
Listy D. A.,8.5,18-Oct-21,Recommended for millennial people.,Urban Merdeka Hotel By UHM,HOTELS
Dimas B.,9.3,07-Oct-21,"The concept was unique, the location was strategic, and the overall stay was satisfying.",Urban Merdeka Hotel By UHM,HOTELS
Hery,9.7,10-Jun-21,,Urban Merdeka Hotel By UHM,HOTELS
Dirashalati,9.7,05-Jun-21,,Urban Merdeka Hotel By UHM,HOTELS
Yuris R. A.,9.7,14-Apr-21,"Unique new Hotel design, clean and comfortable room. Great location in Jalan Merdeka, so much foodstuffs.. Friendly and helpful staff.. Thank you so much Mas Sony..",Urban Merdeka Hotel By UHM,HOTELS
Rizwan N. H.,5.9,12-Apr-21,"The room was ok, conceptnya bagus, tapii jam 12 malam masih ADA sekumpulan manusia main gitar nyanyi2, teriak2 an. Like what. Itﾕs not recommended at all staying here. I feel so regret staying here. Totally not comfortable at all",Urban Merdeka Hotel By UHM,HOTELS
Ivan F.,9.4,06-Mar-21,,Urban Merdeka Hotel By UHM,HOTELS
Rinaldha G. C. P.,8.5,24-Mar-22,"Plus, I feel like sleeping in a container, AC is okay, TV is okay, mattress and cleanliness is okay. WiFi okay. The minus is that you pay attention, there is no toothbrush, the hot water is closed for a long time, it can't be flashed.",Urban Merdeka Hotel By UHM,HOTELS
DIAH P.,9.7,30-Mar-22,,Jan思alla Bandung,HOTELS
Mella D.,9.7,29-Mar-22,"This is my second time stay at Janevalla, the room was clean and very comfortable. The location also strategic, and the food was good. I really recommend this hotel.",Jan思alla Bandung,HOTELS
ahmad t.,10,28-Mar-22,Nice place for stay if you at bandung.,Jan思alla Bandung,HOTELS
Mohamad,9.7,27-Mar-22,,Jan思alla Bandung,HOTELS
Gadis P. A.,8.5,26-Mar-22,"Stayed 5 days in this hotel and we enjoyed it very much! They could improve the pillow because it 's too flat, but overall it 's worth the money. You should try a morning walk in the area it 's an absolute delight!",Jan思alla Bandung,HOTELS
Mila K.,10,23-Mar-22,,Jan思alla Bandung,HOTELS
Aris W.,8.5,22-Mar-22,,Jan思alla Bandung,HOTELS
Danang W.,9.1,20-Mar-22,,Jan思alla Bandung,HOTELS
Fanny P.,5.2,15-Mar-22,"The door unit was broken, lots of stains and holes on bedsheet, the air con didn't cool we had to ask the technician to fix it. The whole room was dirty (the mattress, the bathroom floor, etc).",Jan思alla Bandung,HOTELS
jovita,9.7,14-Mar-22,Beautiful downtown hotel with nice roof top bar! It's clean and has a lot of comfort items to make you feel at home. The atmosphere and service were great. Rooms were very nice and modern. Definitely a must do if you are looking for a good time.,Jan思alla Bandung,HOTELS
Angga B. P.,10,28-Mar-22,,Surya Kencana Boutique Guest House,GUEST HOUSES
Diah,10,31-Jan-22,"2nd times booking at this best guest house in town, they gave awesome welcome snacks and drink, room spotless clean as usual, friendly staffs, strategic location, always feel like home. Will definitely recommended to friends and family",Surya Kencana Boutique Guest House,GUEST HOUSES
Yanida P.,9.1,08-Dec-21,I surprise at first day because I arrived at 9 PM so the ambience feels spooky. But end up I love the hotel. For the second day I gave to my cousin as my wedding gift and they love it! For sure will coming back again with my family.,Surya Kencana Boutique Guest House,GUEST HOUSES
Jeni,9.7,17-Nov-21,The guest house is convniently located and gives homey atmosphere with spacious rooms and nice interior. In addition the service of the staff was superb.,Surya Kencana Boutique Guest House,GUEST HOUSES
Dede O.,8.5,09-Nov-21,"At the beginning I was confused. Because looks like old building. Picture about the hotel not so clear. But ya, never try never know. But then finally I booked hotel. And guess what. I came there it was awesome place to stay I mean in the big city like bandung still have green place to staycation. Its really really comfortable, clean, green, and ya. I meet ibu (owner) in the next morning she is really really friendly and ya we had coffee together in the morning hihi. Coming back again someday. Wait ya hihi",Surya Kencana Boutique Guest House,GUEST HOUSES
Etza I. F.,9.7,27-Oct-21,,Surya Kencana Boutique Guest House,GUEST HOUSES
Diana M.,9.4,19-Oct-21,"Very clean and comfortable, feels homey.",Surya Kencana Boutique Guest House,GUEST HOUSES
Alexander D. R. T.,9.3,10-Jun-21,"Exceeded expectation, location + price tag + cleanliness + room size. I stayed for 3 nights when taking care of inlaws hospitalized in St Borromeus which is a 2 mins walk away. The wifi is very good, strong, and stable to support back-to-back zoom meetings with video. The room is super clean and spacious. Staffs can try to smile more, but this is minor compared to the values this guesthouse offer",Surya Kencana Boutique Guest House,GUEST HOUSES
Rosseline T.,9.7,20-May-21,"Spacious, clean, well-maintained little guesthouse. Thereﾕs a complimentary snack bar available all day and the kids loved it. Family room is big with two queen beds. Bathroom is clean, hot water runs well. I have to say Iﾕm impressed! At such an affordable rate, weﾕll definitely be back.",Surya Kencana Boutique Guest House,GUEST HOUSES
christiani w.,10,12-Apr-21,"Spacious room, spotless place, strategic place, worth the money! Definitely will come back. Thank you surya kencana",Surya Kencana Boutique Guest House,GUEST HOUSES
ERBI,8.5,03-Apr-22,,Serela Merdeka by KAGUM Hotels,HOTELS
R Eldian P.,6.8,29-Mar-22,WiFi wasn't good enough and the table was out of number so I need to wait the others to finish their meals.,Serela Merdeka by KAGUM Hotels,HOTELS
wiwin w.,8.5,13-Mar-22,"Clean & comfortable room, good price & location, helpful & friendly staff.",Serela Merdeka by KAGUM Hotels,HOTELS
Dennis G.,6.3,06-Mar-22,"Hotel is not clean enough, light also not too bright, less maintenamce I think. Some interior are bad condition. Hot water slow response. Bad parking space. Centralized AC is slow cooling. My room has an opening window but the outside noise came inside. Can not go there anymore",Serela Merdeka by KAGUM Hotels,HOTELS
Phan,5.5,23-Feb-22,Not clear. Staff nice helpfully. Bjt the hotel it 's dirty. Old. The owner maybe don't care the hotel for longtime. It 's dark hotel. Not good for holiday. I honestly complain. Sorry.,Serela Merdeka by KAGUM Hotels,HOTELS
Ida A.,8,28-Jan-22,"The price worth the room. Unfortunately, the room was covered with smoke odor. We hope the hotel can regulate non-smoking rooms for guests wishing to stay in the non-smoking rooms.",Serela Merdeka by KAGUM Hotels,HOTELS
Tri D.,6,15-Jan-22,Linen bed sheet a lot of spot. Bad towew condition.,Serela Merdeka by KAGUM Hotels,HOTELS
Monika,6,30-Dec-21,I didn't even stay here why am I getting the notification.,Serela Merdeka by KAGUM Hotels,HOTELS
Henry A. B.,8.5,21-Dec-21,,Serela Merdeka by KAGUM Hotels,HOTELS
Renate E.,4.8,05-Dec-21,"We arrived at 3 in the morning after a 10-hour drive, there was no staff to help with luggage. Even the receptionist wasn't wearing a mask. The carpet in the room was stained and dirty. There morning there was little to no air pressure in the bathroom, not even enough to flush the toilet! We were supposed to stay 2 nights, we checked out after the first without being able to take a shower. Again receptionist not wearing a mask. Would NOT recommend this hotel to anyone.",Serela Merdeka by KAGUM Hotels,HOTELS
,,,,Deluxe and Simply Studio at Tamansari La Grande Apartment By Travelio,APARTMENTS
mawar h.,9.4,29-Mar-22,Always happy to stay in this hotel.,Mercure Bandung Nexa Supratman,HOTELS
Maria S.,9.7,27-Mar-22,The room is clean and comfy and the staffs were friendly and helpful.,Mercure Bandung Nexa Supratman,HOTELS
Aditya P.,9.7,15-Mar-22,"The location is very reacheable. Very nice lobby and all of check-in and check-out process was fast. Spacious bedroom with fresh and clean linen, also clean bathroom. Breakfast menu also various and delicious. Recommendedhotel if you go to Bandung.",Mercure Bandung Nexa Supratman,HOTELS
Agnes,9.7,09-Mar-22,,Mercure Bandung Nexa Supratman,HOTELS
Ivan K.,9.4,28-Feb-22,"YOW. From the check in to the out it was awesome! All the staffs were super friendly, Health protocol was done professionally, The cleanliness, the tools and everything was so perfect. Not to mention they really provide me the room with amazing view! __. And yes, for work from hotel, the wifi the desk the light were so supportive! Would love to stay here again! Thanks!- @ivankur -",Mercure Bandung Nexa Supratman,HOTELS
Ayu A.,8.7,27-Feb-22,"Had a wonderful experience! Unfortunately, the services was quite long. Maybe because of the density people staying.",Mercure Bandung Nexa Supratman,HOTELS
Mohammad R.,10,19-Feb-22,,Mercure Bandung Nexa Supratman,HOTELS
Khansa F.,9.7,06-Feb-22,,Mercure Bandung Nexa Supratman,HOTELS
Harry S.,9.1,30-Jan-22,"Good room good facility, staff are responsive.",Mercure Bandung Nexa Supratman,HOTELS
Herni A.,10,22-Jan-22,,Mercure Bandung Nexa Supratman,HOTELS
,,,,Deluxe Studio Room @ Tamansari La Grande Apartment,APARTMENTS
roy r. s. h. h.,8.5,14-Mar-22,OK everything is good for family. Please maintains the pool.,de Sofia Dago,HOTELS
Nurlaili R. H.,6.1,09-Mar-22,Need to queue for check in as we cannot check in earlier than 2 PM. Lobby not so comfy for waiting. Bed not really comfy too.,de Sofia Dago,HOTELS
Wiji S.,9.7,07-Mar-22,,de Sofia Dago,HOTELS
Iskandar Z.,9.7,11-Feb-22,The hotel has a great location. It have a variety of food nearby. The hotel it self very comfortable with clean room and hot shower. The facility it self its same with the description such as swimming pool. The break fast is fair enough with the price.,de Sofia Dago,HOTELS
Andi A. S.,9.7,02-Feb-22,"The accommodation is as expected. Room was clean when arrived. Sheets and towels were clean. Breakfast was as expected. The location is excellent, close to restaurants, food stalls, minimarkets and ATM. Staff was friendly and helpful.",de Sofia Dago,HOTELS
Denny S.,9.4,11-Jan-22,"The location is strategy, the receptionist is welcomed me very nice, hope can back again:).",de Sofia Dago,HOTELS
Henry S.,6.6,03-Jan-22,"Staff are not friendly, but near from dipatiukur.",de Sofia Dago,HOTELS
Sri,8.8,24-Dec-21,"Pleasant stay, good service, clean room and good location __.",de Sofia Dago,HOTELS
ita S.,8.5,23-Dec-21,"the service for this hotel was good, every day they clean the room and fast respond if we need something, friendly employees.. and parking space was enough.. its recommended hotel.",de Sofia Dago,HOTELS
